ID,Name,DraftKings_Position,DraftKings_ADP,DraftKings_Team,Mapped Name,ESPN_Rank,ESPN_Positional_Rank,Team,ESPN_Salary_Cap_Value,Bye Week
976804,Ronnie Rivers,RB,,LAR,Ronnie Rivers,,,,,
832900,Chase Edmonds,RB,,TB,Chase Edmonds,240,RB69,TB,0,11
590796,Ameer Abdullah,RB,,LV,Ameer Abdullah,243,RB72,LV,0,10
837824,Drew Sample,TE,,CIN,Drew Sample,,,,,
596417,Phillip Dorsett II,WR,,DEN,Phillip Dorsett II,,,,,
602241,DeVante Parker,WR,,FA,DeVante Parker,,,,,
606551,Chris Moore,WR,,ARI,Chris Moore,,,,,
866973,David Sills V,WR,,DEN,David Sills V,,,,,
1127065,Chris Brooks,RB,,MIA,Chris Brooks,,,,,
1113477,Derius Davis,WR,,LAC,Derius Davis,,,,,
1122692,Cole Turner,TE,,WAS,Cole Turner,,,,,
1130833,Deven Thompkins,WR,,CAR,Deven Thompkins,,,,,
1132517,Nate Adkins,TE,,DEN,Nate Adkins,,,,,
1231663,Dillon Johnson,RB,,CAR,Dillon Johnson,,,,,
1121887,Justin Shorter,WR,,BUF,Justin Shorter,,,,,
1065052,Tay Martin,WR,,SF,Tay Martin,,,,,
1173032,Tahj Washington,WR,,MIA,Tahj Washington,,,,,
840691,Rashaad Penny,RB,,FA,Rashaad Penny,,,,,
1215792,Zach Evans,RB,,LAR,Zach Evans,,,,,
946019,Chris Evans,RB,,CIN,Chris Evans,,,,,
1067132,Charlie Jones,WR,,CIN,Charlie Jones,,,,,
1166545,Deonte Harty,WR,,BAL,Deonte Harty,,,,,
949134,Quez Watkins,WR,,PIT,Quez Watkins,,,,,
1180347,David Bell,WR,,CLE,David Bell,,,,,
1128108,Kyle Philips,WR,,TEN,Kyle Philips,,,,,
1061929,Laviska Shenault Jr.,WR,,SEA,Laviska Shenault Jr.,,,,,
1130260,Payne Durham,TE,,TB,Payne Durham,,,,,
910605,Trayveon Williams,RB,,CIN,Trayveon Williams,278,RB85,CIN,0,12
1163866,Zonovan Knight,RB,,DET,Zonovan Knight,,,,,
920758,Lil'Jordan Humphrey,WR,,DEN,Lil'Jordan Humphrey,,,,,
838396,Jordan Akins,TE,,CLE,Jordan Akins,,,,,
943635,Patrick Taylor Jr.,RB,,SF,Patrick Taylor Jr.,,,,,
976252,Tre' McKitty,TE,,BUF,Tre' McKitty,,,,,
1068738,Gary Brightwell,RB,,FA,Gary Brightwell,,,,,
1059680,Quintin Morris,TE,,BUF,Quintin Morris,,,,,
915066,Reggie Gilliam,RB,,BUF,Reggie Gilliam,,,,,
749681,River Cracraft,WR,,MIA,River Cracraft,,,,,
