ID,Name,DraftKings_Position,DraftKings_ADP,DraftKings_Team,ESPN_Rank,ESPN_Positional_Rank,overallRating
1110725,Justyn Ross,WR,225.2251,KC,,,72
1214414,Theo Johnson,TE,225.23944,NYG,,,72
865958,KaVontae Turpin,WR,225.76207,DAL,284,WR102,72
975387,Isaiah Hodgins,WR,226.0778,NYG,,,72
1176730,Skyy Moore,WR,226.3245,KC,,,72
875444,Adam Trautman,TE,226.4612,DEN,,,72
1056981,Noah Gray,TE,227.0689,KC,,,72
820435,Brandon Powell,WR,227.5287,MIN,,,72
1107878,Dyami Brown,WR,227.8136,WAS,,,72
1176782,Jonathan Mingo,WR,228.2138,CAR,275,WR101,72
839043,D'Ernest Johnson,RB,228.4407,JAX,250,RB79,72
946094,Chase Claypool,WR,229.2241,BUF,,,72
216342,Joe Flacco,QB,230.257,IND,319,QB40,72
877784,Ty Johnson,RB,230.4697,BUF,242,RB71,72
835779,Royce Freeman,RB,232.129,DAL,,,72
1214112,Tyler Scott,WR,232.9474,CHI,,,72
590796,Ameer Abdullah,RB,,LV,243,RB72,72
949134,Quez Watkins,WR,,PIT,,,72
658447,Zach Pascal,WR,,ARI,,,72
322858,Andy Dalton,QB,,CAR,,,72
757521,KhaDarel Hodge,WR,,ATL,,,72
865573,Foster Moreau,TE,,NO,,,72
835845,Khari Blasingame,RB,,CHI,,,72
1166036,Ashton Dulin,WR,,IND,,,72
913826,Byron Pringle,WR,,FA,,,72
1123379,Chase Brown,RB,97.760796,CIN,122,RB44,71
1213881,Ja'Lynn Polk,WR,145.08627,NE,177,WR63,71
879981,Daniel Jones,QB,179.8789,NYG,199,QB23,71
1228920,Ben Sinnott,TE,183.1734,WAS,290,TE31,71
1161899,Bo Nix,QB,191.29361,DEN,269,QB30,71
1215291,Malachi Corley,WR,201.38979,NYJ,229,WR85,71
1287636,Will Shipley,RB,213.32373,PHI,279,RB86,71
1286176,Troy Franklin,WR,214.55077,DEN,,,71
1287599,J.J. McCarthy,QB,215.7855,MIN,267,QB28,71
1229669,Roman Wilson,WR,216.27235,PIT,263,WR95,71
884943,Trenton Irwin,WR,224.5762,CIN,,,71
883259,Nick Westbrook-Ikhine,WR,225.1626,TEN,,,71
884080,Van Jefferson,WR,225.55737,PIT,261,WR93,71
1177970,Xavier Gipson,WR,225.7755,NYJ,,,71
749968,Durham Smythe,TE,226.9924,MIA,,,71
881779,Josh Oliver,TE,227.4693,MIN,,,71
739424,Austin Hooper,TE,227.6684,NE,,,71
1126338,Isaac Guerendo,RB,228.4797,SF,,,71
1218658,Darnell Washington,TE,229.4286,PIT,,,71
1109758,A.T. Perry,WR,229.9089,NO,,,71
1059684,Desmond Ridder,QB,230.8235,ARI,,,71
1128108,Kyle Philips,WR,,TEN,,,71
838396,Jordan Akins,TE,,CLE,,,71
916467,Harrison Bryant,TE,,LV,,,71
943841,James Robinson,RB,,NO,,,71
886641,JaMycal Hasty,RB,,NE,,,71
976066,Jalen Reagor,WR,,NE,,,71
556483,Michael Burton,RB,,DEN,,,71
884553,Miles Boykin,WR,,NYG,,,71
824428,Andrew Beck,RB,,HOU,,,71
612512,DeAndre Carter,WR,,CHI,,,71
924362,Quintez Cephus,WR,,HOU,,,71
1049915,David Moore,WR,,CAR,,,71
1218631,Jermaine Burton,WR,178.57587,CIN,205,WR77,70
1213726,Jalen McMillan,WR,193.2224,TB,233,WR89,70
880026,Sam Darnold,QB,193.47368,MIN,302,QB34,70
1164846,Luke McCaffrey,WR,200.65598,WAS,232,WR88,70
1321291,Audric Estime,RB,208.94463,DEN,,,70
1231136,Javon Baker,WR,217.93867,NE,,,70
1229074,Parker Washington,WR,225.3837,JAX,,,70
975503,Jelani Woods,TE,225.5825,IND,260,TE29,70
1277914,Devontez Walker,WR,226.87393,BAL,,,70
1110301,Tyquan Thornton,WR,226.9138,NE,,,70
1107478,Michael Penix Jr.,QB,227.17355,ATL,316,QB37,70
1181861,Jacob Cowing,WR,227.3906,SF,,,70
1130555,Tommy Tremble,TE,227.8667,CAR,,,70
1116817,Emari Demercado,RB,229.94,ARI,,,70
1228925,Deuce Vaughn,RB,230.0909,DAL,251,RB80,70
1122035,Daniel Bellinger,TE,230.5613,NYG,289,TE30,70
1163272,Jared Wiley,TE,230.5722,KC,,,70
660151,Robert Tonyan,TE,231.16,MIN,,,70
691536,Jameis Winston,QB,231.3237,CLE,,,70
1067132,Charlie Jones,WR,,CIN,,,70
1163866,Zonovan Knight,RB,,DET,,,70
749681,River Cracraft,WR,,MIA,,,70
877913,James Proche II,WR,,CLE,,,70
920944,Ben Skowronek,WR,,HOU,,,70
1228586,Danny Gray,WR,,SF,,,70
934331,Denzel Mims,WR,,JAX,,,70
922484,Travis Homer,RB,,CHI,,,70
838415,Tre'Quan Smith,WR,,DET,,,70
943093,Ian Thomas,TE,,CAR,,,70
837820,Dante Pettis,WR,,CHI,,,70
915030,Darrynton Evans,RB,,BUF,,,70
865895,Myles Gaskin,RB,,MIN,,,70
749136,Anthony Miller,WR,,FA,,,70
866174,Tyler Davis,TE,,GB,,,70
910431,N'Keal Harry,WR,,MIN,,,70
1325231,Braelon Allen,RB,174.19019,NYJ,222,RB64,69
1109708,Tyrone Tracy Jr.,RB,189.71611,NYG,212,RB60,69
1116001,Jordan Mason,RB,202.46552,SF,,,69
1060312,Colby Parkinson,TE,213.86147,LAR,291,TE32,69
973945,Mac Jones,QB,224.46773,JAX,,,69
1180328,Ainias Smith,WR,224.638,PHI,,,69
911644,Collin Johnson,WR,224.6697,CHI,,,69
1126817,Jalen Nailor,WR,225.77234,MIN,,,69
1178628,Jamari Thrash,WR,226.1818,CLE,,,69
741262,Joshua Dobbs,QB,226.2667,SF,,,69
607047,Jacoby Brissett,QB,227.0381,NE,,,69
1172080,Bub Means,WR,227.1444,NO,,,69
1214249,Israel Abanikanda,RB,227.2258,NYJ,,,69
1173255,Malik Washington,WR,228.0892,MIA,,,69
921050,Kylen Granson,TE,228.5804,IND,,,69
1181874,Tucker Kraft,TE,228.8417,GB,206,TE22,69
1168245,Sam Howell,QB,230.296,SEA,317,QB38,69
1124664,Cedric Tillman,WR,231.45677,CLE,272,WR98,69
1121871,Brevin Jordan,TE,231.8333,HOU,,,69
1161661,Anthony Gould,WR,235.1,IND,,,69
1113477,Derius Davis,WR,,LAC,,,69
1180347,David Bell,WR,,CLE,,,69
1130213,Ronnie Bell,WR,,SF,,,69
1056438,Jaelon Darden,WR,,CLE,,,69
1161729,Tyrion Davis-Price,RB,,FA,,,69
1130230,Hassan Haskins,RB,,TEN,,,69
884567,Jalen Guyton,WR,,LV,,,69
1049246,Salvon Ahmed,RB,,MIA,,,69
911236,Tyler Johnson,WR,,LAR,,,69
837087,Tom Kennedy,WR,,DET,,,69
1062546,Tylan Wallace,WR,,BAL,,,69
884601,Equanimeous St. Brown,WR,,NO,,,69
877596,Steven Sims,WR,,HOU,,,69
835437,James Washington,WR,,ATL,,,69
1124851,Andrei Iosivas,WR,205.72511,CIN,294,WR103,68
1161798,Eric Gray,RB,215.96857,NYG,241,RB70,68
1163273,Jordan Whittington,WR,220.50336,LAR,,,68
1326628,Ja'Tavion Sanders,TE,225.25226,CAR,,,68
1167356,Craig Reynolds,RB,225.2754,DET,,,68
1130242,Luke Schoonmaker,TE,225.6966,DAL,,,68
1121050,Jake Bobo,WR,225.6993,SEA,,,68
1381164,Sione Vaki,RB,225.7171,DET,,,68
946748,Kene Nwangwu,RB,226.3853,MIN,,,68
1225999,Brenden Rice,WR,226.7365,LAC,,,68
602091,Martavis Bryant,WR,228,FA,,,68
399579,Tyrod Taylor,QB,229.3729,NYJ,318,QB39,68
1213486,Johnny Wilson,WR,229.6336,PHI,,,68
976236,Trey Sermon,RB,229.69771,IND,244,RB73,68
1108052,Zach Wilson,QB,230.2222,DEN,,,68
1164940,Brenton Strange,TE,230.5217,JAX,,,68
1122596,Jeremy Ruckert,TE,230.7143,NYJ,,,68
1229133,Rasheen Ali,RB,231.8302,BAL,,,68
865844,Jake Browning,QB,233,CIN,,,68
837824,Drew Sample,TE,,CIN,,,68
1173032,Tahj Washington,WR,,MIA,,,68
946019,Chris Evans,RB,,CIN,,,68
1123496,Simi Fehoko,WR,,LAC,,,68
976309,DeeJay Dallas,RB,,ARI,,,68
1060650,Montrell Washington,WR,,KC,,,68
599113,Taylor Heinicke,QB,,ATL,,,68
563293,Chris Manhertz,TE,,NYG,,,68
591801,Chris Conley,WR,,SF,,,68
933537,J.J. Taylor,RB,,HOU,,,68
703015,Dare Ogunbowale,RB,,HOU,265,RB81,68
910463,Freddie Swain,WR,,CHI,,,68
1129405,Anthony Schwartz,WR,,MIA,,,68
748554,Laquon Treadwell,WR,,IND,,,68
1170916,Jalen Cropper,WR,,DAL,,,68
1169424,Jha'Quan Jackson,WR,,TEN,,,68
1229489,Tip Reiman,TE,,ARI,,,68
1068724,Raheem Blackshear,RB,218.99997,CAR,,,67
1393832,Ryan Flournoy,WR,224.9643,DAL,,,67
1213636,Xavier Hutchinson,WR,225.4483,HOU,,,67
1066811,Aidan O'Connell,QB,225.55646,LV,301,QB33,67
1271609,Isaiah Davis,RB,225.972,NYJ,247,RB76,67
1181659,Cornelius Johnson,WR,226.5567,LAC,,,67
1174752,Spencer Rattler,QB,227.8991,NO,,,67
607843,Marcus Mariota,QB,227.9565,WAS,,,67
740704,Johnny Mundt,TE,228.6939,MIN,,,67
1115394,Tanner Hudson,TE,229.6029,CIN,,,67
555358,Jimmy Garoppolo,QB,232.3571,LAR,,,67
1121887,Justin Shorter,WR,,BUF,,,67
1215792,Zach Evans,RB,,LAR,,,67
1168410,Gunner Olszewski,WR,,NYG,,,67
913546,Cornell Powell,WR,,KC,,,67
1125882,Keaontay Ingram,RB,,KC,,,67
1065138,Peyton Hendershot,TE,,DAL,,,67
975028,Malik Davis,RB,,DAL,,,67
913163,Tyler Huntley,QB,,CLE,,,67
1227717,DeWayne McBride,RB,,MIN,,,67
920560,Samori Toure,WR,,GB,,,67
828656,Nsimba Webster,WR,,CHI,,,67
746244,Keith Kirkwood,WR,,BAL,,,67
830084,Keelan Doss,WR,,LV,,,67
1131214,Dax Milne,WR,,WAS,,,67
880123,Lawrence Cager,TE,,NYG,,,67
694931,Eric Saubert,TE,,SF,,,67
1059221,Ihmir Smith-Marsette,WR,,CAR,,,67
875523,Kristian Wilkerson,WR,,LV,,,67
842181,Mike Boone,RB,,CAR,,,67
552586,MyCole Pruitt,TE,,PIT,,,67
767297,Anthony Firkser,TE,,NYJ,,,67
836079,Juwann Winfree,WR,,IND,,,67
1231079,Jason Brownlee,WR,,NYJ,,,67
1172173,Keilan Robinson,RB,,JAX,,,67
1176432,Isaiah Williams,WR,,DET,,,67
1214824,Kimani Vidal,RB,186.84283,LAC,,,66
1213362,Kayshon Boutte,WR,226.3761,NE,,,66
978120,Brock Wright,TE,226.404,DET,,,66
1223301,Jalen Brooks,WR,228.1776,DAL,,,66
694117,Cooper Rush,QB,228.7619,DAL,,,66
1173266,Evan Hull,RB,228.7945,IND,266,RB82,66
976966,Hendon Hooker,QB,228.8095,DET,,,66
1164788,Devaughn Vele,WR,228.9429,DEN,,,66
1164137,Jawhar Jordan,RB,229.0333,HOU,,,66
1213251,Jase McClellan,RB,229.0588,ATL,,,66
1108937,Jaret Patterson,RB,229.17833,LAC,,,66
1161664,Davis Allen,TE,230.075,LAR,,,66
1176431,Casey Washington,WR,230.7662,ATL,,,66
823220,Mason Rudolph,QB,230.8462,TEN,,,66
741785,Mike White,QB,231.3571,MIA,,,66
866973,David Sills V,WR,,DEN,,,66
1127065,Chris Brooks,RB,,MIA,,,66
910605,Trayveon Williams,RB,,CIN,278,RB85,66
920758,Lil'Jordan Humphrey,WR,,DEN,,,66
1121075,Jordan Travis,QB,,NYJ,,,66
1161114,Snoop Conner,RB,,DAL,,,66
976221,Grant Calcaterra,TE,,PHI,,,66
1226343,Rakim Jarrett,WR,,TB,,,66
1125846,Julius Chestnut,RB,,TEN,,,66
944038,John Bates,TE,,WAS,,,66
866149,Josiah Deguara,TE,,JAX,,,66
923834,Dez Fitzpatrick,WR,,PIT,,,66
1284247,Shane Zylstra,TE,,DET,,,66
1057457,Connor Heyward,TE,,PIT,,,66
1166944,Malik Taylor,WR,,NYJ,,,66
733849,Trent Taylor,WR,,SF,,,66
1058648,Charlie Kolar,TE,,BAL,,,66
833514,Cody Thompson,WR,,TB,,,66
554431,Eric Tomlinson,TE,,IND,,,66
1231559,Malik Heath,WR,,GB,,,66
1052852,Colton Dowell,WR,,TEN,,,66
1315586,Tejhaun Palmer,WR,,ARI,,,66
1122182,Dylan Laube,RB,223.59555,LV,,,65
1113403,Chris Rodriguez Jr.,RB,226.2444,WAS,277,RB84,65
1161853,Elijah Higgins,TE,226.4012,ARI,,,65
1168918,Tyler Goodson,RB,227.0957,IND,,,65
1175182,Cade Stover,TE,227.4325,HOU,,,65
1130975,Trey Lance,QB,228.0339,DAL,,,65
1107037,Josh Whyle,TE,228.1182,TEN,,,65
1060311,Davis Mills,QB,228.5405,HOU,,,65
728169,Mitchell Trubisky,QB,228.6857,BUF,,,65
1229765,Jaheim Bell,TE,229.4167,NE,,,65
1121873,Will Mallory,TE,,IND,,,65
921460,Brandon Johnson,WR,,DEN,,,65
922017,La'Mical Perine,RB,,PIT,,,65
911239,Ko Kieft,TE,,TB,,,65
1056747,Tim Jones,WR,,JAX,,,65
1071823,Josh Ali,WR,,ATL,,,65
914308,Jake Funk,RB,,DET,,,65
922040,Charlie Woerner,TE,,ATL,,,65
1123712,James Mitchell,TE,,DET,,,65
1384869,Dareke Young,WR,,SEA,,,65
1128527,Jermar Jefferson,RB,,DET,,,65
1191979,Mike Strachan,WR,,CAR,,,65
1120915,Erik Ezukanma,WR,,MIA,,,65
913829,Skylar Thompson,QB,,MIA,,,65
606488,Nick Vannett,TE,,TEN,,,65
976809,Elijah Cooks,WR,,JAX,,,65
1125739,Cameron Latu,TE,,SF,,,65
