Overall Rank,Positional Rank,Player Name,Team,Salary Cap Value,Bye Week
18,WR10,Davante Adams,LV,37,10
274,WR100,Josh Reynolds,DEN,0,14
275,WR101,Jonathan Mingo,CAR,0,11
284,WR102,KaVontae Turpin,DAL,0,7
294,WR103,Andrei Iosivas,CIN,0,12
295,WR104,Tutu Atwell,LAR,0,6
19,WR11,Michael Pittman Jr.,IND,36,14
20,WR12,Mike Evans,TB,35,11
34,WR13,Marvin Harrison Jr.,ARI,23,11
35,WR14,Drake London,ATL,22,12
36,WR15,Nico Collins,HOU,22,14
37,WR16,DK Metcalf,SEA,22,10
38,WR17,Brandon Aiyuk,SF,21,9
39,WR18,Deebo Samuel Sr.,SF,21,9
40,WR19,DJ Moore,CHI,20,7
5,WR2,Tyreek Hill,MIA,54,6
41,WR20,Stefon Diggs,HOU,19,14
42,WR21,DeVonta Smith,PHI,19,5
43,WR22,Jaylen Waddle,MIA,18,6
46,WR23,Cooper Kupp,LAR,15,6
47,WR24,Zay Flowers,BAL,15,14
48,WR25,Calvin Ridley,TEN,14,5
49,WR26,Malik Nabers,NYG,13,11
50,WR27,Tee Higgins,CIN,13,12
52,WR28,George Pickens,PIT,11,9
53,WR29,Chris Godwin,TB,11,11
6,WR3,Ja'Marr Chase,CIN,53,12
54,WR30,Tank Dell,HOU,10,14
55,WR31,Keenan Allen,CHI,10,7
56,WR32,Amari Cooper,CLE,10,10
57,WR33,DeAndre Hopkins,TEN,10,5
58,WR34,Rashee Rice,KC,9,6
82,WR35,Diontae Johnson,CAR,4,11
83,WR36,Terry McLaurin,WAS,4,14
84,WR37,Christian Kirk,JAC,4,12
85,WR38,Jordan Addison,MIN,4,6
86,WR39,Courtland Sutton,DEN,4,14
7,WR4,Amon-Ra St. Brown,DET,53,5
91,WR40,Christian Watson,GB,3,10
92,WR41,Jayden Reed,GB,3,10
93,WR42,Jaxon Smith-Njigba,SEA,3,10
94,WR43,Mike Williams,NYJ,3,12
95,WR44,Tyler Lockett,SEA,3,10
104,WR45,Marquise Brown,KC,2,6
105,WR46,Rome Odunze,CHI,2,7
106,WR47,Xavier Worthy,KC,2,6
107,WR48,Ladd McConkey,LAC,2,5
108,WR49,Keon Coleman,BUF,2,12
8,WR5,Justin Jefferson,MIN,52,6
109,WR50,Brian Thomas Jr.,JAC,2,12
123,WR51,Darnell Mooney,ATL,1,12
124,WR52,Jerry Jeudy,CLE,1,10
125,WR53,Gabe Davis,JAC,1,12
126,WR54,Jakobi Meyers,LV,1,10
127,WR55,Adam Thielen,CAR,1,11
128,WR56,Curtis Samuel,BUF,1,12
129,WR57,Jameson Williams,DET,1,5
130,WR58,Rashid Shaheed,NO,1,12
140,WR59,Xavier Legette,CAR,1,11
12,WR6,A.J. Brown,PHI,46,5
174,WR60,DeMario Douglas,NE,0,14
175,WR61,Khalil Shakir,BUF,0,12
176,WR62,Romeo Doubs,GB,0,10
177,WR63,Ja'Lynn Polk,NE,0,14
178,WR64,Adonai Mitchell,IND,0,14
179,WR65,Quentin Johnston,LAC,0,5
180,WR66,Joshua Palmer,LAC,0,5
181,WR67,Brandin Cooks,DAL,0,7
182,WR68,Kendrick Bourne,NE,0,14
183,WR69,Marvin Mims Jr.,DEN,0,14
13,WR7,Puka Nacua,LAR,45,6
184,WR70,Josh Downs,IND,0,14
193,WR71,Jahan Dotson,WAS,0,14
194,WR72,Ricky Pearsall,SF,0,9
201,WR73,Demarcus Robinson,LAR,0,6
202,WR74,Wan'Dale Robinson,NYG,0,11
203,WR75,Tyler Boyd,TEN,0,5
204,WR76,Darius Slayton,NYG,0,11
205,WR77,Jermaine Burton,CIN,0,12
208,WR78,DJ Chark Jr.,LAC,0,5
209,WR79,Zay Jones,ARI,0,11
14,WR8,Garrett Wilson,NYJ,43,12
210,WR80,Rashod Bateman,BAL,0,14
211,WR81,Jalen Tolbert,DAL,0,7
224,WR82,Michael Wilson,ARI,0,11
